MovieId,Title,Genres,Year,Synopsis,RatingMean,Affiche
1,Toy Story,['Adventure|Animation|Children|Comedy|Fantasy'],1995,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,3.9475920679886687,"https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_QL75_UX190_CR0,1,190,281_.jpg"
2,Jumanji,['Adventure|Children|Fantasy'],1995,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",3.0253807106598987,"https://m.media-amazon.com/images/M/MV5BMmM1ZTg0N2ItOTdlZS00MzExLWFiMjEtYmE5MDBiOTA0YjVlXkEyXkFqcGdeQXVyMTEyODk3NTgz._V1_QL75_UY281_CR9,0,190,281_.jpg"
3,Grumpier Old Men,['Comedy|Romance'],1995,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",2.7186629526462394,"https://m.media-amazon.com/images/M/MV5BMjQxM2YyNjMtZjUxYy00OGYyLTg0MmQtNGE2YzNjYmUyZTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg"
4,Waiting to Exhale,['Comedy|Drama|Romance'],1995,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.",2.3911290322580645,"https://m.media-amazon.com/images/M/MV5BYzcyMDY2YWQtYWJhYy00OGQ2LTk4NzktYWJkNDYwZWJmY2RjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_QL75_UX190_CR0,1,190,281_.jpg"
5,Father of the Bride Part II,['Comedy'],1995,"George Banks must deal not only with his daughter's pregnancy, but also with his wife's.",2.5991253644314867,"https://m.media-amazon.com/images/M/MV5BOTEyNzg5NjYtNDU4OS00MWYxLWJhMTItYWU4NTkyNDBmM2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR0,0,190,281_.jpg"
6,Heat,['Action|Crime|Thriller'],1995,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,3.7172523961661343,"https://m.media-amazon.com/images/M/MV5BYjZjNTJlZGUtZTE1Ny00ZDc4LTgwYjUtMzk0NDgwYzZjYTk1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY281_CR3,0,190,281_.jpg"
7,Sabrina,['Comedy|Romance'],1995,"As her 16th birthday nears, Sabrina Spellman must reconcile her dual nature as a half-witch, half-mortal while fighting the evil forces that threaten her, her family, and the daylight world humans inhabit.",2.8953168044077136,"https://m.media-amazon.com/images/M/MV5BYjg2MWUzZmItMjg4Zi00Zjg5LWIzZGMtMzIzMjJkYmMwNDU2XkEyXkFqcGdeQXVyMjU5MTY1MTc@._V1_QL75_UY207_CR14,0,140,207_.jpg"
9,Sudden Death,['Action'],1995,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,2.430051813471503,"https://m.media-amazon.com/images/M/MV5BMjA3MzY5Mzk1NF5BMl5BanBnXkFtZTcwNDA1NDYxMQ@@._V1_QL75_UX190_CR0,19,190,281_.jpg"
10,GoldenEye,['Action|Adventure|Thriller'],1995,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond is assigned to stop a Russian crime syndicate from using the weapon.",3.219360568383659,"https://m.media-amazon.com/images/M/MV5BOWI0MTJlMjEtYTI0ZS00NWZiLWE1ZmItYzBlZTE5YTk3NTJiXkEyXkFqcGdeQXVyMTEwNDU1MzEy._V1_QL75_UX190_CR0,2,190,281_.jpg"
11,The American President,['Comedy|Drama|Romance'],1995,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.",3.3861607142857144,"https://m.media-amazon.com/images/M/MV5BNzM2MjAzYjUtNTMxYS00ZjlkLTkwZWEtZDUxZmYxMWMyNmNjXkEyXkFqcGdeQXVyMTIzMzQ1ODg4._V1_QL75_UY281_CR8,0,190,281_.jpg"
12,Dracula: Dead and Loving It,['Comedy|Horror'],1995,Mel Brooks' parody of the classic vampire story and its famous film adaptations.,2.09297520661157,"https://m.media-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@._V1_QL75_UX190_CR0,1,190,281_.jpg"
13,Balto,['Adventure|Animation|Children'],1995,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",2.8640350877192984,"https://m.media-amazon.com/images/M/MV5BNDE0MGI5ZTUtYjhjZi00Zjg0LWIwOWMtZjg3MDhlOTUyZTkzXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_QL75_UY281_CR9,0,190,281_.jpg"
14,Nixon,['Drama'],1995,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.",3.413793103448276,"https://m.media-amazon.com/images/M/MV5BMjIxNzgxMDU4OV5BMl5BanBnXkFtZTcwOTM3MTU5MQ@@._V1_QL75_UX140_CR0,1,140,207_.jpg"
15,Cutthroat Island,['Action|Adventure|Romance'],1995,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,2.2843601895734595,"https://m.media-amazon.com/images/M/MV5BZmQzZTk4OWQtMDVjMS00YjllLWEyZDUtYWIwMmFjOGY0Zjc0XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_QL75_UY281_CR7,0,190,281_.jpg"
16,Casino,['Crime|Drama'],1995,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",3.723292469352014,"https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
17,Sense and Sensibility,['Drama|Romance'],1995,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",3.661082474226804,"https://m.media-amazon.com/images/M/MV5BOWUyYWFjZjYtMmE5Yi00MGU3LTg5N2ItMjQzODYzNTIzNDAwXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_QL75_UY281_CR7,0,190,281_.jpg"
18,Four Rooms,['Comedy'],1995,Four interlocking tales that take place in a fading hotel on New Year's Eve.,2.871875,"https://m.media-amazon.com/images/M/MV5BMWJlOTM1ODItMWJhNy00NjgwLWIwNDctM2E2YzBjNjYzMzQ3XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_QL75_UY281_CR18,0,190,281_.jpg"
19,Ace Ventura: When Nature Calls,['Comedy'],1995,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",2.3286252354048966,"https://m.media-amazon.com/images/M/MV5BZjI3OWVlNjEtZTFiYi00ZTBiLWI4OTUtNjQ1NTQyOGQwNTdjXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_QL75_UY281_CR4,0,190,281_.jpg"
20,Money Train,['Action|Comedy|Crime|Drama|Thriller'],1995,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",2.47119341563786,"https://m.media-amazon.com/images/M/MV5BOTFmMGQ1NWUtNzk3OC00ODhiLWEwZTQtYTUzMDQ0ZGM0NzZjL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_QL75_UY281_CR10,0,190,281_.jpg"
21,Get Shorty,['Comedy|Crime|Thriller'],1995,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",3.358792184724689,"https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
22,Copycat,['Crime|Drama|Horror|Mystery|Thriller'],1995,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,2.972972972972973,"https://m.media-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
23,Assassins,['Action|Crime|Thriller'],1995,An assassin is given a contract to kill seven people around the world only to discover the targets are also assassins who have been hired to kill him.,2.5943396226415096,"https://m.media-amazon.com/images/M/MV5BYzk4MjQ5NDMtNmI5Zi00YmU3LWFhMzAtMjJkY2IyZjNmOGYyXkEyXkFqcGdeQXVyMTEyODk3NTgz._V1_QL75_UY281_CR11,0,190,281_.jpg"
24,Powder,['Drama|Sci-Fi'],1995,An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,2.8333333333333335,"https://m.media-amazon.com/images/M/MV5BOGUzYzNiZTItYmZlNi00ODI1LThjNTMtNjI1MTNlZDQ0OGY2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_QL75_UX190_CR0,4,190,281_.jpg"
25,Leaving Las Vegas,['Drama|Romance'],1995,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",3.5784313725490198,"https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
26,Othello,['Drama'],1995,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",3.1767241379310347,"https://m.media-amazon.com/images/M/MV5BNzVlMjhjYzctNjQ4My00OGMwLThmZTktODE4MWI3NzNkOWYyXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_QL75_UY281_CR1,0,190,281_.jpg"
27,Now and Then,['Children|Drama'],1995,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,2.857142857142857,"https://m.media-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_QL75_UX190_CR0,8,190,281_.jpg"
28,Persuasion,['Drama|Romance'],1995,"Eight years after Anne Elliot was persuaded not to marry a dashing man of humble origins, they meet again. Will she seize her second chance at true love?",3.4747899159663866,"https://m.media-amazon.com/images/M/MV5BZDg3MzdiYjAtZWQ0MC00MDY4LWE5ZWEtNjliNTE3ZDZjNTU3XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_QL75_UX190_CR0,0,190,281_.jpg"
29,The City of Lost Children,['Adventure|Drama|Fantasy|Mystery|Sci-Fi'],1995,Description non disponible,3.638392857142857,https://i.ibb.co/svCHzsj/image-non-disponible.png
31,Dangerous Minds,['Drama'],1995,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,2.7464788732394365,"https://m.media-amazon.com/images/M/MV5BYzI3ZWY2MjYtODY1Ny00MDIyLTkxOTYtNjgyOTc0NDhlNGIxXkEyXkFqcGdeQXVyMTM2ODk1OTQ@._V1_QL75_UY281_CR8,0,190,281_.jpg"
